Brand,Product_Code,Product,Unit_Price,Qty_Price,Bundle_Price,Socket,C/T,Ghz,Cache
Intel,BX80684I99900KS,Core i9-9900KS,552.96,550.51,543.15,LGA1151,16-Aug,4,16MB
Intel,BX80684I99900K,Core i9-9900K,538.25,535.8,528.44,LGA1151,12-Aug,3.6,16MB
Intel,BX80684I79700K,Core i7-9700K,434.03,431.58,429.13,LGA1151,8-Aug,3.6,12MB
Intel,BX80684I79700F,Core i7-9700F,348.21,345.75,343.3,LGA1151,8-Aug,3,12MB
Intel,BX80684I79700,Core i7-9700,358.02,355.56,353.11,LGA1151,8-Aug,3,12MB
Intel,BX80684I59600K,Core i5-9600K,243.99,242.76,241.54,LGA1151,6-Jun,3.7,9MB
Intel,BX80684I59600,Core i5-9600,237.86,236.63,235.41,LGA1151,6-Jun,3.1,9MB
Intel,BX80684I59500,Core i5-9500,215.79,214.56,213.34,LGA1151,6-Jun,3,9MB
Intel,BX80684I59400,Core i5-9400,191.27,190.04,188.82,LGA1151,6-Jun,2.9,9MB
Intel,BX80684I59400F,Core i5-9400F,147.13,145.9,144.68,LGA1151,6-Jun,2.9,9MB
Intel,BX80684I58400,Core i5-8400,191.27,190.04,188.82,LGA1151,6-Jun,2.8,9MB
Intel,BX80684i39100F,Core i3-9100F,84.6,83.37,82.15,LGA1151,4-Apr,3.6,6MB
Intel,BX80684I39100,Core i3-9100,126.29,125.06,123.83,LGA1151,4-Apr,3.6,6MB
Intel,BX80662G4400,Pentium G4400,62.53,61.3,60.57,LGA1151,2-Feb,3.3,3MB
AMD,YD299XAZAFWOF,AMD Ryzen Threadripper 2990WX,1844.03,1841.57,1839.12,sTR4,4200MHz,250W,80MB
AMD,YD297XAZAFWOF,AMD Ryzen Threadripper 2970X,995.58,993.13,990.67,sTR4,4200MHz,250W,76MB
AMD,YD295XA8AEWOF,AMD Ryzen Threadripper 2950X,774.88,772.43,769.98,sTR4,4000MHz,180W,40MB
AMD,YD292XA8AEWOF,AMD Ryzen Threadripper 2920X,387.44,384.99,382.54,sTR4,4300MHz,180W,38MB
AMD,100-100000023BOX,AMD Ryzen 9 3900X,518.63,516.18,513.73,AM4,4600MHz,105W,70MB
AMD,100-100000025BOX,AMD Ryzen 7 3800X,407.06,404.61,402.15,AM4,4500MHz,105W,36MB
AMD,100-100000071BOX,AMD Ryzen 7 3700X,337.17,335.95,334.72,AM4,4400MHz,65W,36MB
AMD,YD270XBGAFBOX,AMD Ryzen 7 2700X,218.24,217.02,215.79,AM4,4350MHz,105W,20MB
AMD,YD2700BBAFBOX,AMD Ryzen 7 2700,180.23,177.78,176.56,AM4,4100MHz,65W,20MB
AMD,100-100000022BOX,AMD Ryzen 5 3600x,250.12,248.89,247.67,AM4,4400MHz,95W,36MB
AMD,100-100000031BOX,AMD Ryzen 5 3600,204.76,203.53,202.3,AM4,4200MHz,65W,36MB
AMD,YD2600BBAFBOX,AMD Ryzen 5 2600x,166.75,165.52,164.29,AM4,4250MHz,95W,19MB
AMD,YD2600BBAFBOX,AMD Ryzen 5 2600,131.19,128.74,127.51,AM4,3900MHz,65W,19MB
AMD,YD3400C5FHBOX,AMD Ryzen 5 3400G,154.49,153.26,152.03,AM4,4200MHz,65W,6MB
AMD,YD2400C5FBBOX,AMD Ryzen 5 2400G,133.64,132.42,131.19,AM4,3900MHz,65W,6MB
AMD,YD3200C5FHBOX,AMD Ryzen 3 3200G,100.54,99.31,98.09,AM4,4000MHz,65W,6MB
AMD,YD2200C5FBBOX,AMD Ryzen 3 2200G,87.05,85.83,84.6,AM4,3700MHz,65W,6MB
AMD,YD200GC6FBBOX,AMD Athlon 200GE,49.04,48.55,47.82,AM4,3200MHZ,35W,5MB
,,,,,,,,,
