MPN,Manufacturer,Product_description,Change,MSRP,Warranty,Weight_lbs,UPC
SM-G960UZKAXAA,Samsung,Samsung Galaxy S9 Black,Price Change,599.99,365,0.36,887276246529
SM-G960UZKAN14,Samsung,Samsung Galaxy S9 Black Enterprise Edition,Price Change,649.99,365,0.36,887276268750
SM-G970UZBAXAA,Samsung,Galaxy S10E Blue 128 GB (Unlocked),,749.99,365,1.1,887276328713
SM-G970UZBEXAA,Samsung,Galaxy S10e Blue 256 GB (Unlocked),,849.99,365,1.1,887276328676
SM-G970UZKAXAA,Samsung,Galaxy S10e  Black 128 GB (Unlocked),,749.99,365,1.1,887276302225
SM-G970UZKEXAA,Samsung,Galaxy S10e Black 256 GB (Unlocked),,849.99,365,1.1,887276309439
SM-G970UZWAXAA,Samsung,Galaxy S10e White 128 GB (Unlocked),,749.99,365,1.1,887276309408
SM-G970UZWEXAA,Samsung,Galaxy S10e White 256 GB (Unlocked),,849.99,365,1.1,887276309392
SM-G973UZBAXAA,Samsung,Galaxy S10 Blue 128 GB (Unlocked),,899.99,365,0.85,887276312132
SM-G973UZBEXAA,Samsung,Galaxy S10 Blue 512 GB (Unlocked),,1149.99,365,0.85,887276329093
SM-G973UZKAXAA,Samsung,Galaxy S10 Black 128 GB (Unlocked),,899.99,365,0.85,887276302126
SM-G973UZKEXAA,Samsung,Galaxy S10 Black 512 GB (Unlocked),,1149.99,365,0.85,887276308814
SM-G973UZWAXAA,Samsung,Galaxy S10 White 128 GB (Unlocked),,899.99,365,0.85,887276308807
SM-G973UZWEXAA,Samsung,Galaxy S10 White 512 GB (Unlocked),,1149.99,365,0.85,887276308791
SM-G975UCKEXAA,Samsung,Galaxy S10+ Ceramic Black 512 GB (Unlocked),,1249.99,365,0.9,887276329161
SM-G975UCKFXAA,Samsung,Galaxy S10+ Ceramic Black 1TB (Unlocked),,1599.99,365,0.9,887276329178
SM-G975UCWEXAA,Samsung,Galaxy S10+ Ceramic White 512 GB (Unlocked),,1249.99,365,0.9,887276329147
SM-G975UCWFXAA,Samsung,Galaxy S10+ Ceramic White 1TB (Unlocked),,1599.99,365,0.9,887276329116
SM-G975UZBAXAA,Samsung,Galaxy S10+ Blue 128 GB (Unlocked),,999.99,365,0.9,887276311210
SM-G975UZKAXAA,Samsung,Galaxy S10+ Black 128 GB (Unlocked),,999.99,365,0.9,887276302065
SM-G975UZWAXAA,Samsung,Galaxy S10+ White 128 GB (Unlocked),,999.99,365,0.9,887276308494
SM-N970UZKAXAA,Samsung,Galaxy Note 10 Black 256GB (Unlocked),New,949.99,365,1.04,887276352831
SM-N970UZSAXAA,Samsung,Galaxy Note 10 Silver 256GB (Unlocked),New,949.99,365,1.04,887276358222
SM-N970UZWAXAA,Samsung,Galaxy Note 10 White 256GB (Unlocked),New,949.99,365,1.04,887276367712
SM-N975UZKAXAA,Samsung,Galaxy Note 10+ Black 256GB (Unlocked),New,1099.99,365,1.14,887276346526
SM-N975UZSAXAA,Samsung,Galaxy Note 10+ Silver 256GB (Unlocked),New,1099.99,365,1.14,887276357904
SM-N975UZWAXAA,Samsung,Galaxy Note 10+ White 256GB (Unlocked),New,1099.99,365,1.14,887276357867
SM-N975UZKEXAA,Samsung,Galaxy Note 10+ Black 512GB (Unlocked),New,1199.99,365,1.14,887276357928
SM-A102UZKAXAA,Samsung,Galaxy A10e Black (Unlocked),New,179.99,365,0.55,887276360058
SM-A205UZKAXAA,Samsung,Galaxy A20 Black (Unlocked),New,249.99,365,0.63,887276368696
